We accept the love we think we deserve.,Stephen Chbosky,The Perks of Being a Wallflower,"{'inspirational', 'love'}"
"Love all, trust a few, do wrong to none.",William Shakespeare,All's Well That Ends Well,{'love'}
"You love me. Real or not real?""I tell him, ""Real.",Suzanne Collins,Mockingjay,{'love'}
To die will be an awfully big adventure.,J.M. Barrie,Peter Pan,{'love'}
We love the things we love for what they are.,Robert Frost,,"{'poetry', 'love'}"
I would die for you. But I won't live for you.,Stephen Chbosky,The Perks of Being a Wallflower,{'love'}
"You are, and always have been, my dream.",Nicholas Sparks,The Notebook,{'love'}
Where there is love there is life.,Mahatma Gandhi,,"{'life', 'love'}"
I would always rather be happy than dignified.,Charlotte Brontë,Jane Eyre,{'love'}
We loved with a love that was more than love.,Edgar Allan Poe,,{'love'}
What's meant to be will always find a way,Trisha Yearwood,,"{'inspiration', 'love'}"
The heart was made to be broken.,Oscar Wilde,,{'love'}
"Love is so short, forgetting is so long.",Pablo Neruda,Love: Ten Poems,{'love'}
The very essence of romance is uncertainty.,Oscar Wilde,The Importance of Being Earnest and Other Plays,"{'romance', 'love'}"
I love you. Remember. They cannot take it,Lauren Oliver,Delirium,{'love'}
When love is not madness it is not love.,Pedro Calderón de la Barca,,"{'romance', 'love'}"
"Hate the sin, love the sinner.",Mahatma Gandhi,,"{'religion', 'love'}"
"One love, one heart, one destiny.",Bob Marley,,"{'destiny', 'humanity', 'inspirational', 'love'}"
I love you like a fat kid loves cake!,Scott Adams,,"{'humor', 'love'}"
Find what you love and let it kill you.,Charles Bukowski,,{'love'}
Look after my heart - I've left it with you.,Stephenie Meyer,Eclipse,{'love'}
Happiness [is] only real when shared,Jon Krakauer,Into the Wild,"{'happiness', 'inspirational', 'love'}"
A half-read book is a half-finished love affair.,David Mitchell,Cloud Atlas,{'love'}
I'm oxygen and he's dying to breathe.,Tahereh Mafi,Shatter Me,{'love'}
"Who, being loved, is poor?",Oscar Wilde,,{'love'}
"The more one judges, the less one loves.",Honoré de Balzac,Physiologie Du Mariage,{'love'}
The heart has its reasons which reason knows not.,Blaise Pascal,,{'love'}
Don't cry over someone who wouldn't cry over you.,Lauren Conrad,,{'love'}
True love is usually the most inconvenient kind.,Kiera Cass,The Selection,{'love'}
The course of true love never did run smooth.,William Shakespeare,A Midsummer Night's Dream,{'love'}
"For where all love is, the speaking is unnecessary",Diana Gabaldon,Outlander,{'love'}
I'd learned that some things are best kept secret.,Nicholas Sparks,Dear John,"{'life', 'love'}"
The soul is healed by being with children.,Fyodor Dostoyevsky,,"{'inspiration', 'love'}"
If you're a bird... I'm a bird...,Nicholas Sparks,The Notebook,{'love'}
"I belong to my beloved, and my beloved is mine.",Jamie McGuire,Beautiful Disaster,"{'romance', 'love'}"
There is always something left to love.,Gabriel García Márquez,One Hundred Years of Solitude,{'love'}
We must love one another or die,W.H. Auden,,{'love'}
"If a thing loves, it is infinite.",William Blake,,{'love'}
Love is a better master than duty.,Albert Einstein,,{'love'}
You are like nobody since I love you.,Pablo Neruda,,{'love'}
"After all this time?""""Always...",J.K. Rowling,Harry Potter and the Deathly Hallows,{'love'}
"In love, no question is ever preposterous.",André Brink,Before I Forget,{'love'}
"Love, n. A temporary insanity curable by marriage.",Ambrose Bierce,The Unabridged Devil's Dictionary,{'love'}
What greater gift than the love of a cat.,Charles Dickens,,{'love'}
We are all worthy of one another.,Edward P. Jones,The Known World,{'love'}
Lovers alone wear sunlight.,E.E. Cummings,,"{'poetry', 'love'}"
Nothing ever happens like you imagine it will,John Green,Paper Towns,"{'truth', 'life', 'love'}"
I think we ought to live happily ever after.,Diana Wynne Jones,Howl's Moving Castle,{'love'}
"Unless you love someone, nothing else makes sense.",E.E. Cummings,,{'love'}
Heaven would never be heaven without you.,Richard Matheson,What Dreams May Come,{'love'}
The best things in life make you sweaty.,Edgar Allan Poe,,"{'life', 'purpose', 'inspirational', 'love'}"
You are my life now.,Stephenie Meyer,Twilight,{'love'}
Morning without you is a dwindled dawn.,Emily Dickinson,,{'love'}
It's the imperfections that make things beautiful,Jenny Han,The Summer I Turned Pretty,{'love'}
There is no love sincerer than the love of food.,George Bernard Shaw,Man and Superman,{'love'}
I love you more than I think I should.,Becca Fitzpatrick,Crescendo,{'love'}
"Love, the poet said, is woman's whole existence.",Virginia Woolf,Orlando,"{'poetry', 'love'}"
"I know you're tired but come, this is the way.",Jalaluddin Rumi,,"{'spiritual', 'poetry', 'love'}"
"If I love you, what business is it of yours?",Johann Wolfgang von Goethe,,{'love'}
Why is love intensified by absence?,Audrey Niffenegger,The Time Traveler's Wife,{'love'}
The love that moves the sun and the other stars.,Elizabeth Gilbert,,"{'inspirational', 'love'}"
They do not love that do not show their love.,William Shakespeare,The Two Gentlemen of Verona,{'love'}
"But if I hadn't fallen, I wouldn't have met you.",Becca Fitzpatrick,Hush,{'love'}
"And all I loved, I loved alone.",Edgar Allan Poe,,{'love'}
"If I know what love is, it is because of you.",Hermann Hesse,,{'love'}
They're in love. Fuck the war.,Thomas Pynchon,Gravity's Rainbow,{'love'}
Woman is sacred the woman one loves is holy.,Alexandre Dumas,The Count of Monte Cristo,{'love'}
People should fall in love with their eyes closed.,Andy Warhol,,{'love'}
You’re just another story I can’t tell anymore.,pleasefindthis,I Wrote This For You,{'love'}
Choose your love. Love your choice.,Thomas S. Monson,,{'love'}
Love is a serious mental disease.,Plato,Phaedrus,{'love'}
You don’t take away my choices. You are my choice.,Colleen Houck,,"{'romance', 'love'}"
My soul sees its equal in you.,Renee Ahdieh,The Wrath and the Dawn,{'love'}
I will follow you to the ends of the world.,Khaled Hosseini,A Thousand Splendid Suns,{'love'}
I love you enough to never make you choose.,Katie McGarry,Pushing the Limits,{'love'}
"As your lover describes you, so you are.",Jeanette Winterson,Sexing the Cherry,{'love'}
"When people fall in love, they burst into flames.",Jandy Nelson,I'll Give You the Sun,{'love'}
Even on my weakest daysI get a little bit stronger,Sara Evans,,{'love'}
A heart filled with anger has no room for love.,Joan Lunden,Wake-Up Calls,{'love'}
"Love wins, love always wins.",Mitch Albom,Tuesdays with Morrie,{'love'}
I don't like it when I outweigh my men.,Patricia Briggs,Moon Called,"{'humor', 'love'}"
To love is to recognize yourself in another.,Eckhart Tolle,,{'love'}
"Yes... it wasn't over, it still isn't over.",Nicholas Sparks,,{'love'}
"She's my kitten, and no one else's.",Jeaniene Frost,One Foot in the Grave,{'love'}
Work without love is slavery.,Mother Teresa,,"{'faith', 'love', 'work'}"
I love you more than I hate everything else.,Rainbow Rowell,Landline,{'love'}
"Love, like fire, goes out without fuel.",Mikhail Lermontov,A Hero of Our Time,{'love'}
i carry your heart with me(i carry it in my heart),E.E. Cummings,Selected Poems,"{'poetry', 'love'}"
You made me feel alive again.,Julie Kagawa,The Iron King,"{'life', 'love'}"
Everybody is a main character to someone...,Amy Harmon,Making Faces,{'love'}
I want you to be weak. As weak as I am.,Milan Kundera,The Unbearable Lightness of Being,{'love'}
Each time you happen to me all over again.,Edith Wharton,The Age of Innocence,{'love'}
"Make me into anything, but just love me.",Chuck Palahniuk,Invisible Monsters,{'love'}
"What I cannot love, I overlook.",Anaïs Nin,,{'love'}
